Sort ,State,FIPS,County,County Seat(s),Population,Land Area,Land Area,Water Area,Water Area,Total Area,Total Area,Latitude,Longitude
95,AK,02282,Yakutat,Yakutat,662,7649.457,7649.457,1813.410,1813.410,9462.867,9462.867,59.999083,140.239593
96,AK,02290,YukonKoyukuk,—,5588,145504.789,145504.789,2299.842,2299.842,147804.631,147804.631,65.376131,151.576855
97,AZ,04001,Apache,St. Johns,71518,11197.521,11197.521,20.917,20.917,11218.438,11218.438,35.385845,109.493747
98,AZ,04003,Cochise,Bisbee,131346,6165.690,6165.690,52.906,52.906,6218.596,6218.596,31.881793,109.754120
99,AZ,04005,Coconino,Flagstaff,134421,18618.885,18618.885,42.457,42.457,18661.342,18661.342,35.829692,111.773728
100,AZ,04007,Gila,Globe,53597,4757.933,4757.933,37.495,37.495,4795.428,4795.428,33.789618,110.811870
101,AZ,04009,Graham,Safford,37220,4622.597,4622.597,18.469,18.469,4641.066,4641.066,32.931828,109.878310
102,AZ,04011,Greenlee,Clifton,8437,1843.126,1843.126,5.307,5.307,1848.433,1848.433,33.238872,109.242323
103,AZ,04012,La Paz,Parker,20489,4499.629,4499.629,14.124,14.124,4513.753,4513.753,33.727625,114.038793
104,AZ,04013,Maricopa,Phoenix,3817117,9200.143,9200.143,24.246,24.246,9224.389,9224.389,33.346541,112.495534
105,AZ,04015,Mohave,Kingman,200186,13311.084,13311.084,149.565,149.565,13460.649,13460.649,35.717705,113.749689
106,AZ,04017,Navajo,Holbrook,107449,9950.422,9950.422,9.297,9.297,9959.719,9959.719,35.390934,110.320908
107,AZ,04019,Pima,Tucson,980263,9187.036,9187.036,2.061,2.061,9189.097,9189.097,32.128237,111.783018
108,AZ,04021,Pinal,Florence,375770,5365.612,5365.612,8.622,8.622,5374.234,5374.234,32.918910,111.367257
109,AZ,04023,Santa Cruz,Nogales,47420,1236.916,1236.916,1.192,1.192,1238.108,1238.108,31.525904,110.845190
110,AZ,04025,Yavapai,Prescott,211033,8123.499,8123.499,4.441,4.441,8127.940,8127.940,34.630044,112.573745
111,AZ,04027,Yuma,Yuma,195751,5513.992,5513.992,5.117,5.117,5519.109,5519.109,32.773942,113.910905
112,AR,05001,Arkansas,De Witt,19019,988.770,988.770,44.979,44.979,1033.749,1033.749,34.289574,91.376547
113,AR,05003,Ashley,Hamburg,21853,925.349,925.349,15.178,15.178,940.527,940.527,33.190835,91.772267
114,AR,05005,Baxter,Mountain Home,41513,554.283,554.283,32.432,32.432,586.715,586.715,36.280710,92.330438
115,AR,05007,Benton,Bentonville,221339,847.357,847.357,36.549,36.549,883.906,883.906,36.337825,94.256187
116,AR,05009,Boone,Harrison,36903,590.231,590.231,11.600,11.600,601.831,601.831,36.304308,93.079204
117,AR,05011,Bradley,Warren,11508,649.231,649.231,3.686,3.686,652.917,652.917,33.463819,92.168164
118,AR,05013,Calhoun,Hampton,5368,628.581,628.581,3.833,3.833,632.414,632.414,33.560460,92.513879
119,AR,05015,Carroll,Berryville,27446,630.087,630.087,8.713,8.713,638.800,638.800,36.337774,93.541663
120,AR,05017,Chicot,Lake Village,11800,644.304,644.304,46.483,46.483,690.787,690.787,33.267139,91.297158
121,AR,05019,Clark,Arkadelphia,22995,866.074,866.074,16.755,16.755,882.829,882.829,34.053312,93.176205
122,AR,05021,Clay,Piggott,16083,639.465,639.465,1.971,1.971,641.436,641.436,36.367302,90.418704
123,AR,05023,Cleburne,Heber Springs,25970,553.692,553.692,38.230,38.230,591.922,591.922,35.566288,92.059974
124,AR,05025,Cleveland,Rison,8689,597.783,597.783,0.965,0.965,598.748,598.748,33.893201,92.188714
125,AR,05027,Columbia,Magnolia,24552,766.053,766.053,0.700,0.700,766.753,766.753,33.215070,93.226901
126,AR,05029,Conway,Morrilton,21273,552.250,552.250,14.418,14.418,566.668,566.668,35.265702,92.689248
127,AR,05031,Craighead,Lake City,96443,707.206,707.206,5.468,5.468,712.674,712.674,35.828268,90.630411
128,AR,05033,Crawford,Van Buren,61948,593.094,593.094,11.148,11.148,604.242,604.242,35.583041,94.236224
129,AR,05035,Crittenden,Marion,50902,609.760,609.760,26.617,26.617,636.377,636.377,35.211878,90.315331
130,AR,05037,Cross,Wynne,17870,616.381,616.381,5.926,5.926,622.307,622.307,35.291259,90.773894
131,AR,05039,Dallas,Fordyce,8116,667.386,667.386,0.720,0.720,668.106,668.106,33.967823,92.653999
132,AR,05041,Desha,Arkansas City,13008,768.152,768.152,51.374,51.374,819.526,819.526,33.828748,91.244427
133,AR,05043,Drew,Monticello,18509,828.356,828.356,7.305,7.305,835.661,835.661,33.587242,91.722778
134,AR,05045,Faulkner,Conway,113237,647.884,647.884,16.188,16.188,664.072,664.072,35.146356,92.324654
135,AR,05047,Franklin,Charleston,18125,608.857,608.857,10.785,10.785,619.642,619.642,35.508573,93.887672
136,AR,05049,Fulton,Salem,12245,618.194,618.194,2.134,2.134,620.328,620.328,36.383443,91.819239
137,AR,05051,Garland,Hot Springs,96024,677.781,677.781,56.840,56.840,734.621,734.621,34.578861,93.146915
138,AR,05053,Grant,Sheridan,17853,631.809,631.809,1.121,1.121,632.930,632.930,34.288063,92.423984
139,AR,05055,Greene,Paragould,42090,577.699,577.699,1.864,1.864,579.563,579.563,36.119922,90.565241
140,AR,05057,Hempstead,Hope,22609,727.520,727.520,13.657,13.657,741.177,741.177,33.728611,93.665809
141,AR,05059,Hot Spring,Malvern,32923,615.202,615.202,6.970,6.970,622.172,622.172,34.315177,92.944147
142,AR,05061,Howard,Nashville,13789,588.554,588.554,6.760,6.760,595.314,595.314,34.083179,93.990988
143,AR,05063,Independence,Batesville,36647,763.953,763.953,7.565,7.565,771.518,771.518,35.737499,91.559942
144,AR,05065,Izard,Melbourne,13696,580.577,580.577,3.441,3.441,584.018,584.018,36.094879,91.913625
145,AR,05067,Jackson,Newport,17997,633.938,633.938,7.563,7.563,641.501,641.501,35.596605,91.223178
146,AR,05069,Jefferson,Pine Bluff,77435,870.746,870.746,43.030,43.030,913.776,913.776,34.277696,91.930701
147,AR,05071,Johnson,Clarksville,25540,659.804,659.804,22.940,22.940,682.744,682.744,35.573359,93.466322
148,AR,05073,Lafayette,Lewisville,7645,528.268,528.268,16.811,16.811,545.079,545.079,33.240660,93.611643
149,AR,05075,Lawrence,Walnut Ridge,17415,587.614,587.614,4.728,4.728,592.342,592.342,36.041098,91.101153
150,AR,05077,Lee,Marianna,10424,602.621,602.621,16.881,16.881,619.502,619.502,34.779750,90.779288
151,AR,05079,Lincoln,Star City,14134,561.517,561.517,10.668,10.668,572.185,572.185,33.957665,91.727624
152,AR,05081,Little River,Ashdown,13171,532.253,532.253,32.513,32.513,564.766,564.766,33.699497,94.229774
153,AR,05083,Logan,Booneville,22353,708.125,708.125,23.435,23.435,731.560,731.560,35.218550,93.720563
154,AR,05085,Lonoke,Lonoke,68356,770.728,770.728,32.112,32.112,802.840,802.840,34.755114,91.894132
155,AR,05087,Madison,Huntsville,15717,834.255,834.255,2.825,2.825,837.080,837.080,36.012545,93.724053
156,AR,05089,Marion,Yellville,16653,597.009,597.009,43.311,43.311,640.320,640.320,36.266656,92.678588
157,AR,05091,Miller,Texarkana,43462,625.578,625.578,12.071,12.071,637.649,637.649,33.305505,93.901509
158,AR,05093,Mississippi,Blytheville,46480,900.574,900.574,19.238,19.238,919.812,919.812,35.766943,90.052209
159,AR,05095,Monroe,Clarendon,8149,607.122,607.122,14.176,14.176,621.298,621.298,34.679513,91.203314
160,AR,05097,Montgomery,Mount Ida,9487,779.880,779.880,20.409,20.409,800.289,800.289,34.545652,93.664147
161,AR,05099,Nevada,Prescott,8997,617.837,617.837,2.802,2.802,620.639,620.639,33.666699,93.305072
162,AR,05101,Newton,Jasper,8330,820.896,820.896,2.290,2.290,823.186,823.186,35.910063,93.215084
163,AR,05103,Ouachita,Camden,26120,732.783,732.783,6.969,6.969,739.752,739.752,33.591158,92.878418
164,AR,05105,Perry,Perryville,10445,551.402,551.402,9.131,9.131,560.533,560.533,34.946363,92.926877
165,AR,05107,Phillips,HelenaWest Helena,21757,695.663,695.663,31.682,31.682,727.345,727.345,34.425842,90.848386
166,AR,05109,Pike,Murfreesboro,11291,600.618,600.618,13.512,13.512,614.130,614.130,34.158191,93.658659
167,AR,05111,Poinsett,Harrisburg,24583,758.389,758.389,5.221,5.221,763.610,763.610,35.568981,90.680595
168,AR,05113,Polk,Mena,20662,857.679,857.679,4.783,4.783,862.462,862.462,34.490915,94.230884
169,AR,05115,Pope,Russellville,61754,812.548,812.548,18.227,18.227,830.775,830.775,35.455297,93.031535
170,AR,05117,Prairie,Des Arc,8715,647.958,647.958,27.656,27.656,675.614,675.614,34.828225,91.557200
171,AR,05119,Pulaski,Little Rock,382748,759.763,759.763,47.900,47.900,807.663,807.663,34.773988,92.316515
172,AR,05121,Randolph,Pocahontas,17969,652.191,652.191,3.849,3.849,656.040,656.040,36.341299,91.028441
173,AR,05123,St. Francis,Forrest City,28258,634.771,634.771,7.741,7.741,642.512,642.512,35.014438,90.742199
174,AR,05125,Saline,Benton,107118,723.604,723.604,6.886,6.886,730.490,730.490,34.648525,92.674463
175,AR,05127,Scott,Waldron,11233,892.320,892.320,5.753,5.753,898.073,898.073,34.858869,94.063641
176,AR,05129,Searcy,Marshall,8195,666.095,666.095,2.416,2.416,668.511,668.511,35.909660,92.699351
177,AR,05131,Sebastian,Greenwood,125744,531.911,531.911,14.249,14.249,546.160,546.160,35.196981,94.274989
178,AR,05133,Sevier,De Queen,17058,565.126,565.126,16.151,16.151,581.277,581.277,33.994608,94.243290
179,AR,05135,Sharp,Ash Flat,17264,604.439,604.439,1.997,1.997,606.436,606.436,36.173399,91.471069
180,AR,05137,Stone,Mountain View,12394,606.405,606.405,3.027,3.027,609.432,609.432,35.856989,92.140494
181,AR,05139,Union,El Dorado,41639,1039.214,1039.214,15.985,15.985,1055.199,1055.199,33.168219,92.598145
182,AR,05141,Van Buren,Clinton,17295,708.143,708.143,16.141,16.141,724.284,724.284,35.582959,92.515977
183,AR,05143,Washington,Fayetteville,203065,941.966,941.966,10.443,10.443,952.409,952.409,35.971209,94.218417
184,AR,05145,White,Searcy,77076,1035.075,1035.075,7.070,7.070,1042.145,1042.145,35.254722,91.753158
185,AR,05147,Woodruff,Augusta,7260,586.791,586.791,7.223,7.223,594.014,594.014,35.189071,91.244418
186,AR,05149,Yell,Dardanelle,22185,929.984,929.984,18.873,18.873,948.857,948.857,34.997713,93.408303
187,CA,06001,Alameda,Oakland,1510271,739.017,739.017,82.311,82.311,821.328,821.328,37.648081,121.913304
188,CA,06003,Alpine,Markleeville,1175,738.332,738.332,4.848,4.848,743.180,743.180,38.617610,119.798999
189,CA,06005,Amador,Jackson,38091,594.583,594.583,11.373,11.373,605.956,605.956,38.443550,120.653856
190,CA,06007,Butte,Oroville,220000,1636.464,1636.464,40.667,40.667,1677.131,1677.131,39.665959,121.601919
191,CA,06009,Calaveras,San Andreas,45578,1020.012,1020.012,16.915,16.915,1036.927,1036.927,38.187844,120.555115
192,CA,06011,Colusa,Colusa,21419,1150.731,1150.731,5.630,5.630,1156.361,1156.361,39.177739,122.237563
193,CA,06013,Contra Costa,Martinez,1049025,715.937,715.937,87.833,87.833,803.770,803.770,37.919479,121.951543
194,CA,06015,Del Norte,Crescent City,28610,1006.373,1006.373,223.370,223.370,1229.743,1229.743,41.749903,123.980998
195,CA,06017,El Dorado,Placerville,181058,1707.883,1707.883,78.473,78.473,1786.356,1786.356,38.785532,120.534398
196,CA,06019,Fresno,Fresno,930450,5957.991,5957.991,53.211,53.211,6011.202,6011.202,36.761006,119.655019
197,CA,06021,Glenn,Willows,28122,1313.947,1313.947,13.031,13.031,1326.978,1326.978,39.602546,122.401700
198,CA,06023,Humboldt,Eureka,134623,3567.987,3567.987,484.271,484.271,4052.258,4052.258,40.706673,123.925818
199,CA,06025,Imperial,El Centro,174528,4176.603,4176.603,305.116,305.116,4481.719,4481.719,33.040816,115.355395
200,CA,06027,Inyo,Independence,18546,10180.879,10180.879,46.026,46.026,10226.905,10226.905,36.561977,117.403927
201,CA,06029,Kern,Bakersfield,839631,8131.916,8131.916,30.725,30.725,8162.641,8162.641,35.346629,118.729506
202,CA,06031,Kings,Hanford,152982,1389.420,1389.420,2.111,2.111,1391.531,1391.531,36.072478,119.815530
203,CA,06033,Lake,Lakeport,64665,1256.464,1256.464,72.959,72.959,1329.423,1329.423,39.094802,122.746757
204,CA,06035,Lassen,Susanville,34895,4541.184,4541.184,178.935,178.935,4720.119,4720.119,40.721089,120.629931
205,CA,06037,Los Angeles,Los Angeles,9818605,4057.884,4057.884,693.058,693.058,4750.942,4750.942,34.196398,118.261862
206,CA,06039,Madera,Madera,150865,2137.069,2137.069,16.200,16.200,2153.269,2153.269,37.210039,119.749852
207,CA,06041,Marin,San Rafael,252409,520.306,520.306,307.886,307.886,828.192,828.192,38.051817,122.745974
208,CA,06043,Mariposa,Mariposa,18251,1448.816,1448.816,14.004,14.004,1462.820,1462.820,37.570034,119.912860
209,CA,06045,Mendocino,Ukiah,87841,3506.343,3506.343,371.798,371.798,3878.141,3878.141,39.432388,123.442881
210,CA,06047,Merced,Merced,255793,1934.972,1934.972,43.537,43.537,1978.509,1978.509,37.194806,120.722802
211,CA,06049,Modoc,Alturas,9686,3917.770,3917.770,285.629,285.629,4203.399,4203.399,41.592919,120.718370
212,CA,06051,Mono,Bridgeport,14202,3048.982,3048.982,82.894,82.894,3131.876,3131.876,37.915836,118.875167
213,CA,06053,Monterey,Salinas,415057,3280.595,3280.595,490.626,490.626,3771.221,3771.221,36.240107,121.315573
214,CA,06055,Napa,Napa,136484,748.362,748.362,40.220,40.220,788.582,788.582,38.507351,122.325995
215,CA,06057,Nevada,Nevada City,98764,957.772,957.772,16.029,16.029,973.801,973.801,39.295191,120.773446
216,CA,06059,Orange,Santa Ana,3010232,790.568,790.568,157.498,157.498,948.066,948.066,33.675687,117.777207
217,CA,06061,Placer,Auburn,348432,1407.009,1407.009,95.447,95.447,1502.456,1502.456,39.062032,120.722718
218,CA,06063,Plumas,Quincy,20007,2553.043,2553.043,60.385,60.385,2613.428,2613.428,39.995170,120.829516
219,CA,06065,Riverside,Riverside,2189641,7206.480,7206.480,96.940,96.940,7303.420,7303.420,33.729828,116.002239
220,CA,06067,Sacramento,Sacramento,1418788,964.644,964.644,29.374,29.374,994.018,994.018,38.450011,121.340441
221,CA,06069,San Benito,Hollister,55269,1388.710,1388.710,1.759,1.759,1390.469,1390.469,36.610702,121.085296
222,CA,06071,San Bernardino,San Bernardino,2035210,20056.938,20056.938,47.888,47.888,20104.826,20104.826,34.857220,116.181197
223,CA,06073,San Diego,San Diego,3095313,4206.630,4206.630,319.055,319.055,4525.685,4525.685,33.023604,116.776117
224,CA,06075,San Francisco,San Francisco,805235,46.873,46.873,185.016,185.016,231.889,231.889,37.727239,123.032229
225,CA,06077,San Joaquin,Stockton,685306,1391.322,1391.322,35.177,35.177,1426.499,1426.499,37.935034,121.272237
226,CA,06079,San Luis Obispo,San Luis Obispo,269637,3298.567,3298.567,316.980,316.980,3615.547,3615.547,35.385227,120.447540
227,CA,06081,San Mateo,Redwood City,718451,448.408,448.408,292.551,292.551,740.959,740.959,37.414664,122.371542
228,CA,06083,Santa Barbara,Santa Barbara,423895,2735.085,2735.085,1053.993,1053.993,3789.078,3789.078,34.537378,120.038485
229,CA,06085,Santa Clara,San Jose,1781642,1290.100,1290.100,13.967,13.967,1304.067,1304.067,37.220777,121.690622
230,CA,06087,Santa Cruz,Santa Cruz,262382,445.170,445.170,161.996,161.996,607.166,607.166,37.012488,122.007205
231,CA,06089,Shasta,Redding,177223,3775.402,3775.402,72.020,72.020,3847.422,3847.422,40.760522,122.043550
232,CA,06091,Sierra,Downieville,3240,953.214,953.214,8.996,8.996,962.210,962.210,39.576925,120.521993
233,CA,06093,Siskiyou,Yreka,44900,6277.887,6277.887,69.456,69.456,6347.343,6347.343,41.587986,122.533287
234,CA,06095,Solano,Fairfield,413344,821.765,821.765,84.427,84.427,906.192,906.192,38.267226,121.939594
235,CA,06097,Sonoma,Santa Rosa,483878,1575.849,1575.849,192.098,192.098,1767.947,1767.947,38.532574,122.945194
236,CA,06099,Stanislaus,Modesto,514453,1494.827,1494.827,19.860,19.860,1514.687,1514.687,37.562384,121.002656
237,CA,06101,Sutter,Yuba City,94737,602.410,602.410,6.080,6.080,608.490,608.490,39.035257,121.702758
238,CA,06103,Tehama,Red Bluff,63463,2949.709,2949.709,12.462,12.462,2962.171,2962.171,40.126156,122.232276
239,CA,06105,Trinity,Weaverville,13786,3179.254,3179.254,28.343,28.343,3207.597,3207.597,40.647724,123.114404
